Maior afinidade - 80.985915493%	3 votos - 84.1549295775%	5 votos - 84.1549295775%	7 votos - 86.0328638498%
Maior afinidade - 65.1408450704%	3 votos - 67.6056338028%	5 votos - 67.6056338028%	7 votos - 70.8920187793%
Maior afinidade - 76.4084507042%	3 votos - 89.4366197183%	5 votos - 89.4366197183%	7 votos - 88.7323943662%
Maior afinidade - 62.323943662%	3 votos - 63.7323943662%	5 votos - 63.7323943662%	7 votos - 63.8497652582%
Maior afinidade - 66.9014084507%	3 votos - 69.3661971831%	5 votos - 69.3661971831%	7 votos - 69.4835680751%
Maior afinidade - 92.2535211268%	3 votos - 92.6056338028%	5 votos - 92.6056338028%	7 votos - 92.0187793427%
Maior afinidade - 78.5211267606%	3 votos - 86.2676056338%	5 votos - 86.2676056338%	7 votos - 87.0892018779%
Maior afinidade - 84.1549295775%	3 votos - 87.323943662%	5 votos - 87.323943662%	7 votos - 87.323943662%
Maior afinidade - 55.2816901408%	3 votos - 69.014084507%	5 votos - 69.014084507%	7 votos - 69.6009389671%
Maior afinidade - 66.5492957746%	3 votos - 74.2957746479%	5 votos - 74.2957746479%	7 votos - 74.1784037559%
Maior afinidade - 52.8169014085%	3 votos - 63.3802816901%	5 votos - 63.3802816901%	7 votos - 63.2629107981%
Maior afinidade - 65.4929577465%	3 votos - 69.014084507%	5 votos - 69.014084507%	7 votos - 69.9530516432%
Maior afinidade - 62.676056338%	3 votos - 65.4929577465%	5 votos - 65.4929577465%	7 votos - 65.4929577465%
Maior afinidade - 89.0845070423%	3 votos - 91.1971830986%	5 votos - 91.1971830986%	7 votos - 90.9624413146%
Maior afinidade - 46.4788732394%	3 votos - 52.1126760563%	5 votos - 52.1126760563%	7 votos - 51.8779342723%
Maior afinidade - 86.9718309859%	3 votos - 88.3802816901%	5 votos - 88.3802816901%	7 votos - 88.2629107981%
Maior afinidade - 83.8028169014%	3 votos - 88.0281690141%	5 votos - 88.0281690141%	7 votos - 88.2629107981%
Maior afinidade - 88.0281690141%	3 votos - 91.9014084507%	5 votos - 91.9014084507%	7 votos - 91.6666666667%
Maior afinidade - 68.661971831%	3 votos - 69.3661971831%	5 votos - 69.3661971831%	7 votos - 71.4788732394%
Maior afinidade - 74.6478873239%	3 votos - 85.5633802817%	5 votos - 85.5633802817%	7 votos - 84.6244131455%
Maior afinidade - 82.7464788732%	3 votos - 88.3802816901%	5 votos - 88.3802816901%	7 votos - 88.6150234742%
Maior afinidade - 80.6338028169%	3 votos - 81.338028169%	5 votos - 81.338028169%	7 votos - 81.103286385%
Maior afinidade - 88.7323943662%	3 votos - 89.7887323944%	5 votos - 89.7887323944%	7 votos - 89.4366197183%
Maior afinidade - 90.4929577465%	3 votos - 90.8450704225%	5 votos - 90.8450704225%	7 votos - 90.9624413146%
Maior afinidade - 83.8028169014%	3 votos - 82.3943661972%	5 votos - 82.3943661972%	7 votos - 81.338028169%
Maior afinidade - 69.7183098592%	3 votos - 76.0563380282%	5 votos - 76.0563380282%	7 votos - 76.2910798122%
Maior afinidade - 74.2957746479%	3 votos - 76.0563380282%	5 votos - 76.0563380282%	7 votos - 76.5258215962%
Maior afinidade - 86.6197183099%	3 votos - 90.4929577465%	5 votos - 90.4929577465%	7 votos - 90.0234741784%
Maior afinidade - 86.2676056338%	3 votos - 88.3802816901%	5 votos - 88.3802816901%	7 votos - 88.1455399061%
Maior afinidade - 91.1971830986%	3 votos - 90.8450704225%	5 votos - 90.8450704225%	7 votos - 91.0798122066%
Maior afinidade - 83.4507042254%	3 votos - 85.2112676056%	5 votos - 85.2112676056%	7 votos - 85.7981220657%
Maior afinidade - 83.0985915493%	3 votos - 89.4366197183%	5 votos - 89.4366197183%	7 votos - 90.1408450704%
Maior afinidade - 73.9436619718%	3 votos - 72.1830985915%	5 votos - 72.1830985915%	7 votos - 72.0657276995%
Maior afinidade - 70.0704225352%	3 votos - 67.9577464789%	5 votos - 67.9577464789%	7 votos - 68.3098591549%
Maior afinidade - 81.6901408451%	3 votos - 80.2816901408%	5 votos - 80.2816901408%	7 votos - 78.8732394366%
Maior afinidade - 86.6197183099%	3 votos - 86.6197183099%	5 votos - 86.6197183099%	7 votos - 86.8544600939%
Maior afinidade - 89.4366197183%	3 votos - 86.6197183099%	5 votos - 86.6197183099%	7 votos - 86.8544600939%
Maior afinidade - 84.1549295775%	3 votos - 89.4366197183%	5 votos - 89.4366197183%	7 votos - 89.2018779343%
Maior afinidade - 82.3943661972%	3 votos - 82.0422535211%	5 votos - 82.0422535211%	7 votos - 81.9248826291%
Maior afinidade - 79.9295774648%	3 votos - 90.4929577465%	5 votos - 90.4929577465%	7 votos - 90.3755868545%
Maior afinidade - 79.2253521127%	3 votos - 87.676056338%	5 votos - 87.676056338%	7 votos - 88.2629107981%
Maior afinidade - 90.8450704225%	3 votos - 88.3802816901%	5 votos - 88.3802816901%	7 votos - 87.9107981221%
Maior afinidade - 89.4366197183%	3 votos - 90.8450704225%	5 votos - 90.8450704225%	7 votos - 90.8450704225%
Maior afinidade - 65.4929577465%	3 votos - 73.5915492958%	5 votos - 73.5915492958%	7 votos - 73.9436619718%
Maior afinidade - 79.2253521127%	3 votos - 86.9718309859%	5 votos - 86.9718309859%	7 votos - 86.8544600939%
Maior afinidade - 53.8732394366%	3 votos - 58.4507042254%	5 votos - 58.4507042254%	7 votos - 59.9765258216%
Maior afinidade - 91.1971830986%	3 votos - 90.1408450704%	5 votos - 90.1408450704%	7 votos - 90.3755868545%
Maior afinidade - 74.6478873239%	3 votos - 81.6901408451%	5 votos - 81.6901408451%	7 votos - 83.9201877934%
Maior afinidade - 85.5633802817%	3 votos - 90.4929577465%	5 votos - 90.4929577465%	7 votos - 90.2582159624%
Maior afinidade - 87.323943662%	3 votos - 90.1408450704%	5 votos - 90.1408450704%	7 votos - 89.9061032864%
Maior afinidade - 63.7323943662%	3 votos - 65.1408450704%	5 votos - 65.1408450704%	7 votos - 65.9624413146%
Maior afinidade - 63.3802816901%	3 votos - 64.4366197183%	5 votos - 64.4366197183%	7 votos - 64.0845070423%
Maior afinidade - 63.7323943662%	3 votos - 67.2535211268%	5 votos - 67.2535211268%	7 votos - 67.6056338028%
Maior afinidade - 84.8591549296%	3 votos - 80.2816901408%	5 votos - 80.2816901408%	7 votos - 79.9295774648%
Maior afinidade - 62.323943662%	3 votos - 62.676056338%	5 votos - 62.676056338%	7 votos - 62.79342723%
Maior afinidade - 64.7887323944%	3 votos - 84.8591549296%	5 votos - 84.8591549296%	7 votos - 86.1502347418%
Maior afinidade - 87.676056338%	3 votos - 87.676056338%	5 votos - 87.676056338%	7 votos - 88.2629107981%
Maior afinidade - 87.323943662%	3 votos - 88.7323943662%	5 votos - 88.7323943662%	7 votos - 88.8497652582%
Maior afinidade - 63.3802816901%	3 votos - 66.9014084507%	5 votos - 66.9014084507%	7 votos - 69.9530516432%
Maior afinidade - 87.676056338%	3 votos - 89.7887323944%	5 votos - 89.7887323944%	7 votos - 90.0234741784%
Maior afinidade - 85.9154929577%	3 votos - 85.5633802817%	5 votos - 85.5633802817%	7 votos - 85.4460093897%
Maior afinidade - 75.7042253521%	3 votos - 72.5352112676%	5 votos - 72.5352112676%	7 votos - 72.6525821596%
Maior afinidade - 90.4929577465%	3 votos - 91.5492957746%	5 votos - 91.5492957746%	7 votos - 90.9624413146%
Maior afinidade - 46.8309859155%	3 votos - 59.5070422535%	5 votos - 59.5070422535%	7 votos - 61.5023474178%
Maior afinidade - 84.8591549296%	3 votos - 85.5633802817%	5 votos - 85.5633802817%	7 votos - 85.6807511737%
Maior afinidade - 80.2816901408%	3 votos - 85.2112676056%	5 votos - 85.2112676056%	7 votos - 86.6197183099%
Maior afinidade - 91.1971830986%	3 votos - 91.9014084507%	5 votos - 91.9014084507%	7 votos - 91.6666666667%
Maior afinidade - 94.7183098592%	3 votos - 88.3802816901%	5 votos - 88.3802816901%	7 votos - 88.2629107981%
Maior afinidade - 88.0281690141%	3 votos - 89.0845070423%	5 votos - 89.0845070423%	7 votos - 90.0234741784%
Maior afinidade - 88.0281690141%	3 votos - 85.9154929577%	5 votos - 85.9154929577%	7 votos - 86.3849765258%
Maior afinidade - 69.7183098592%	3 votos - 73.5915492958%	5 votos - 73.5915492958%	7 votos - 72.5352112676%
Maior afinidade - 91.5492957746%	3 votos - 91.9014084507%	5 votos - 91.9014084507%	7 votos - 92.0187793427%
Maior afinidade - 83.0985915493%	3 votos - 74.6478873239%	5 votos - 74.6478873239%	7 votos - 75.5868544601%
Maior afinidade - 63.7323943662%	3 votos - 66.1971830986%	5 votos - 66.1971830986%	7 votos - 68.4272300469%
Maior afinidade - 64.0845070423%	3 votos - 65.1408450704%	5 votos - 65.1408450704%	7 votos - 65.7276995305%
Maior afinidade - 65.8450704225%	3 votos - 71.1267605634%	5 votos - 71.1267605634%	7 votos - 77.5821596244%
Maior afinidade - 58.8028169014%	3 votos - 63.3802816901%	5 votos - 63.3802816901%	7 votos - 63.7323943662%
Maior afinidade - 91.9014084507%	3 votos - 90.4929577465%	5 votos - 90.4929577465%	7 votos - 90.3755868545%
Maior afinidade - 83.8028169014%	3 votos - 87.323943662%	5 votos - 87.323943662%	7 votos - 87.79342723%
Maior afinidade - 88.3802816901%	3 votos - 89.4366197183%	5 votos - 89.4366197183%	7 votos - 89.7887323944%
Maior afinidade - 83.4507042254%	3 votos - 81.338028169%	5 votos - 81.338028169%	7 votos - 82.1596244131%
Maior afinidade - 69.7183098592%	3 votos - 68.661971831%	5 votos - 68.661971831%	7 votos - 69.7183098592%
Maior afinidade - 90.1408450704%	3 votos - 89.7887323944%	5 votos - 89.7887323944%	7 votos - 89.9061032864%
